,delay_cause,delay,relation
1064,Baleset miatti késés,275.0,Graz Hbf - Budapest-Keleti
1731,Felsővezetéki hiba miatti késés,212.8181818181818,Budapest-Nyugati - Vác
365,Baleset miatti késés,209.82222222222222,Budapest-Keleti - Kosice
1381,Pálya állapota miatti késés,183.3181818181818,Budapest-Keleti - Szolnok
100,Társvasúttól átvett késés,158.26666666666668,München Hbf - Budapest-Keleti
376,Társvasúttól átvett késés,150.06666666666666,Bucureşti Nord - Budapest-Keleti
1168,Társvasúttól átvett késés,148.16483516483515,Braşov - Budapest-Keleti
945,Társvasúttól átvett késés,143.0,Praha hl. n. - Budapest-Nyugati
1476,Más vonat által okozott késés,136.68595041322314,Wien Hbf - Budapest-Keleti
1280,Társvasúttól átvett késés,135.37078651685394,Bucureşti Nord - Wien Hbf
1775,Felsővezetéki hiba miatti késés,135.0909090909091,Budapest-Nyugati - Szob
1118,Műszaki ok miatti késés,134.5,Szeged - Budapest-Nyugati
1065,Vonat műszaki hibája miatti késés,133.75,Győr - Veszprém
344,Más vonat által okozott késés,130.05,Budapest-Keleti - Sopron
408,Vonat műszaki hibája miatti késés,129.91666666666666,Budapest-Nyugati - Szolnok
26,Pálya állapota miatti késés,126.83333333333333,Kiskunfélegyháza - Szentes
695,Társvasúttól átvett késés,124.23076923076923,Terespol - Budapest-Nyugati
0,Baleset miatti késés,124.13846153846154,Budapest-Déli - Győr
1372,Baleset miatti késés,124.0,Monor - Budapest-Nyugati
421,Más vonat által okozott késés,122.71212121212122,Szombathely - Budapest-Keleti
733,Más vonat által okozott késés,121.92913385826772,Wien Hbf - Záhony
0,Baleset miatti késés,120.11290322580645,Szeged - Budapest-Nyugati
98,Társvasúttól átvett késés,118.8,Innsbruck Hbf. - Budapest-Keleti
135,Csatlakozásra várás miatti késés,116.88461538461539,Szeged - Orosháza
235,Baleset miatti késés,116.11320754716981,Pécs - Budapest-Keleti
874,Társvasúttól átvett késés,114.75757575757575,Braşov - Budapest-Keleti
764,Baleset miatti késés,113.4047619047619,Budapest-Nyugati - Lajosmizse
37,Felsővezetéki hiba miatti késés,111.97727272727273,Szolnok - Budapest-Keleti
1858,Vonat műszaki hibája miatti késés,110.72413793103448,Szeged - Orosháza
1103,Baleset miatti késés,110.33333333333333,Budapest-Nyugati - Monor
467,Baleset miatti késés,110.13186813186813,Szolnok - Kecskemét
960,Társvasúttól átvett késés,109.76923076923077,München Hbf - Budapest-Keleti
472,Baleset miatti késés,107.62745098039215,Zalaegerszeg - Budapest-Déli
563,Vonat műszaki hibája miatti késés,106.99236641221374,Szombathely - Pécs
115,Társvasúttól átvett késés,105.0,Praha hl. n. - Budapest-Nyugati
129,Csatlakozásra várás miatti késés,104.69565217391305,Szombathely - Nagykanizsa
1087,Vonat műszaki hibája miatti késés,103.28571428571429,Budapest-Keleti - Ljubljana
216,Baleset miatti késés,103.17,Budapest-Nyugati - Nyíregyháza
725,Társvasúttól átvett késés,102.84210526315789,Budapest-Keleti - Braşov
824,Csatlakozásra várás miatti késés,102.33333333333333,Nagykanizsa - Dombóvár
1373,Felsővezetéki hiba miatti késés,101.875,Vácrátót - Budapest-Nyugati
590,Vonat műszaki hibája miatti késés,101.1,Pusztaszabolcs - Székesfehérvár
792,Felsővezetéki hiba miatti késés,99.42857142857143,Szolnok - Budapest-Keleti
0,Baleset miatti késés,99.30952380952381,Magyarbóly - Pécs
649,Baleset miatti késés,98.80701754385964,Pécs - Budapest-Keleti
1659,Felsővezetéki hiba miatti késés,94.0952380952381,Vác - Budapest-Nyugati
582,Társvasúttól átvett késés,94.0,Praha hl. n. - Budapest-Nyugati
1246,Felsővezetéki hiba miatti késés,93.75961538461539,Vác - Budapest-Nyugati
973,Baleset miatti késés,93.28947368421052,Budapest-Keleti - Békéscsaba
1333,Más vonat által okozott késés,91.04597701149426,Budapest-Keleti - Sopron
272,Csatlakozásra várás miatti késés,90.75,Nyíregyháza - Záhony
52,Baleset miatti késés,90.34782608695652,Budapest-Nyugati - Budapest-Keleti
944,Vonat műszaki hibája miatti késés,90.10714285714286,Nyíregyháza - Budapest-Nyugati
596,Vonat műszaki hibája miatti késés,90.0,Pusztaszabolcs - Székesfehérvár
602,Más vonat által okozott késés,89.44444444444444,Budapest-Keleti - Budapest-Nyugati
1241,Baleset miatti késés,89.25,Barcs - Pécs
0,Baleset miatti késés,87.42857142857143,Budapest-Keleti - Budapest-Nyugati
492,Pálya állapota miatti késés,87.2625,Budapest-Nyugati - Nyíregyháza
1543,Felsővezetéki hiba miatti késés,87.11458333333333,Vác - Budapest-Nyugati
710,Társvasúttól átvett késés,87.06666666666666,Praha hl. n. - Budapest-Nyugati
0,Baleset miatti késés,86.75925925925925,Vác - Budapest-Nyugati
1159,Baleset miatti késés,86.65384615384616,Fonyód - Kaposvár
